1	35	30	26	25	24	23	89	73	53	1010	1008	1006	4	3	1	19	6	0	0.00	 None
2	35	31	27	25	23	22	84	68	49	1013	1010	1007	4	3	1	14	8	0	0.00	 None
3	35	30	26	26	23	21	89	68	56	1011	1008	1005	4	3	1	14	5	0	0.00	 None
4	35	30	25	24	23	22	83	69	53	1008	1006	1003	4	3	1	14	8	0	0.00	 None
5	33	28	23	25	22	17	89	72	51	1008	1006	1004	5	3	1	47	8	0	0.00	 None
6	33	27	22	22	20	18	83	68	49	1010	1008	1006	4	4	3	14	6	0	0.00	 None
7	34	28	22	20	19	17	78	63	44	1011	1009	1007	5	4	4	14	8	0	0.00	 None
8	34	27	21	21	20	19	88	70	46	1011	1008	1006	4	4	3	14	5	0	0.00	 None
9	34	27	21	20	19	17	88	64	38	1009	1007	1005	4	4	3	11	6	0	0.00	 None
10	34	27	19	18	16	14	83	56	32	1010	1007	1006	6	5	4	11	6	0	0.00	 None
11	33	27	20	19	17	15	78	60	43	1010	1008	1006	5	4	4	19	8	0	0.00	 None
12	33	27	21	19	18	16	73	62	43	1009	1007	1006	4	4	4	13	6	0	0.00	 None
13	33	27	20	19	18	17	88	65	43	1011	1009	1008	5	4	4	11	6	0	0.00	 None
14	32	24	18	19	18	16	88	67	43	1012	1010	1009	4	4	3	11	5	0	0.00	 None
15	33	26	18	18	17	14	88	60	40	1013	1011	1010	4	4	4	19	8	0	0.00	 None
16	32	26	19	17	17	16	88	62	38	1014	1012	1011	5	4	3	14	6	0	0.00	 None
17	32	24	17	18	16	15	88	62	38	1013	1012	1010	5	4	4	11	6	0	0.00	 None
18	31	24	18	18	17	15	88	63	38	1012	1010	1009	4	4	3	11	6	0	0.00	 None
19	31	24	19	19	17	15	78	65	49	1011	1009	1008	4	4	4	11	8	0	0.00	 None
20	32	24	17	17	16	15	88	62	36	1010	1008	1006	5	4	3	11	8	0	0.00	 None
21	32	26	20	18	16	13	83	59	31	1011	1009	1008	5	4	4	11	6	0	0.00	 None
22	31	24	18	18	17	15	88	64	38	1013	1010	1009	5	4	4	11	6	0	0.00	 None
23	32	23	16	17	16	14	88	64	40	1013	1010	1008	4	4	1	14	6	0	0.00	 None
24	30	24	18	15	15	15	83	62	40	1011	1009	1008	4	4	3	11	8	0	0.00	 None
25	30	23	17	15	13	10	83	59	29	1011	1010	1009	5	4	4	76	6	0	0.00	 None
26	30	23	16	18	14	13	82	63	37	1015	1013	1010	4	4	4	11	5	0	0.00	 None
27	31	23	15	15	13	11	88	59	33	1018	1016	1014	4	4	1	14	6	0	0.00	 None
28	30	22	15	14	13	12	88	61	35	1015	1013	1011	4	4	3	13	6	0	0.00	 None
29	29	23	17	15	13	11	82	60	35	1016	1014	1012	4	4	4	11	6	0	0.00	 None
30	29	22	15	15	14	12	82	63	39	1018	1016	1015	4	4	4	11	5	0	0.00	 None
31	28	22	16	14	13	12	82	62	39	1021	1019	1018	4	3	1	11	5	0	0.00	 None
