1	31	28	26	28	27	26	100	90	79	1002	1002	1001	4	4	1	14	11	0	0.00	Rain 
2	30	28	25	27	26	25	100	90	79	1003	1001	1000	4	4	3	23	5	0	0.00	Rain 
3	33	28	25	27	26	25	100	83	66	1001	999	997	4	4	3	11	2	0	0.00	Rain 
4	35	30	26	27	26	25	94	73	63	997	996	994	4	4	4	19	8	0	0.00	Rain 
5	34	31	28	28	27	25	94	79	66	1001	999	997	4	4	4	27	13	0	0.00	Rain 
6	36	32	28	28	26	24	84	69	50	1003	1001	1000	4	4	4	19	10	0	0.00	Thunderstorm
7	36	33	31	28	27	27	84	76	60	1003	1001	1000	4	4	3	14	8	0	0.00	Thunderstorm
8	34	31	28	27	27	24	89	76	66	1004	1003	1000	5	4	4	19	10	0	0.00	Thunderstorm
9	35	30	26	26	25	24	94	69	56	1003	1001	999	6	5	4	14	8	0	0.00	None 
10	35	30	26	26	24	24	89	67	53	1001	999	998	6	5	4	11	6	0	0.00	None 
11	35	30	26	27	26	24	94	73	59	1000	999	997	4	4	4	45	8	0	0.00	Rain 
12	34	31	29	27	25	23	79	68	56	999	998	997	5	4	4	14	6	0	0.00	Rain 
13	35	29	23	27	24	23	100	75	59	1007	1001	998	4	4	3	29	8	0	0.00	Rain 
14	33	28	23	24	23	21	100	76	59	1006	1005	1004	6	5	4	19	10	0	0.00	Rain 
15	34	30	26	25	24	23	94	72	56	1006	1004	1002	5	5	4	11	3	0	0.00	None 
16	35	31	28	25	24	24	79	68	56	1003	1002	999	6	5	4	19	8	0	0.00	None 
17	35	32	29	28	26	25	84	75	63	1001	1000	999	4	4	3	8	2	0	0.00	None 
18	36	33	30	28	27	26	89	73	56	1003	1001	1000	4	4	2	11	5	0	0.00	None 
19	34	31	29	28	26	24	84	73	63	1006	1004	1001	4	4	3	34	11	0	0.00	None 
20	33	29	26	25	24	23	84	73	63	1007	1006	1004	5	5	4	23	13	0	0.00	Thunderstorm
21	35	31	27	24	24	23	79	64	53	1005	1003	1001	5	5	4	10	6	0	0.00	None 
22	35	31	28	26	25	24	84	70	56	1005	1003	1000	4	4	4	11	8	0	0.00	None 
23	35	31	27	27	25	23	89	72	59	1006	1004	1001	4	4	3	11	3	0	0.00	None 
24	33	28	24	25	24	23	100	73	55	1006	1003	1000	6	4	2	19	8	0	0.00	Rain 
25	32	27	22	25	23	22	100	78	62	1007	1003	1001	10	5	3	47	10	0	0.00	Rain
26	31	27	23	24	23	21	94	79	58	1005	1002	1000	6	5	4	26	8	0	0.00	Rain
27	34	30	26	23	23	23	83	63	52	1004	1001	999	6	5	4	14	8	0	0.00	None 
28	34	30	27	26	24	22	79	71	59	1005	1004	1002	5	4	3	19	8	0	0.00	None 
29	29	27	26	25	23	22	94	79	74	1006	1005	1004	10	6	3	14	10	0	0.00	Rain
30	30	28	26	27	24	23	89	82	74	1007	1005	1004	7	5	4	19	5	0	0.00	Rain
31	34	30	26	24	23	22	83	70	56	1007	1005	1001	6	5	4	11	6	0	0.00	Thunderstorm
