1	30	24	18	18	14	11	88	60	33	1011	1009	1007	4	4	4	27	18	0	0.00	None 
2	32	24	18	18	16	13	88	58	38	1012	1010	1008	4	4	4	19	10	0	0.00	Rain
3	30	26	22	18	16	14	69	55	43	1011	1009	1008	5	5	4	23	11	0	0.00	None 
4	32	26	19	17	16	14	83	59	40	1010	1008	1006	5	5	4	14	10	0	0.00	None 
5	31	24	18	17	16	13	77	59	38	1011	1009	1008	4	4	4	14	8	0	0.00	None 
6	28	23	16	16	14	12	77	66	42	1012	1010	1006	5	4	4	23	10	0	0.00	Rain
7	31	22	14	19	13	11	88	58	29	1012	1010	1008	7	5	4	19	8	0	0.00	None 
8	32	23	15	16	13	10	82	51	27	1013	1012	1010	5	5	4	14	6	0	0.00	None 
9	26	22	18	18	16	12	94	71	54	1015	1014	1011	5	4	3	47	14	0	0.00	Rain
10	28	21	15	15	13	11	82	58	42	1014	1013	1011	5	5	4	23	8	0	0.00	Rain
11	31	24	18	15	13	11	77	55	35	1014	1012	1011	8	6	4	24	11	0	0.00	Rain
12	32	23	16	13	12	11	77	60	27	1011	1010	1009	7	5	4	23	10	0	0.00	None 
13	34	29	24	15	13	11	54	41	24	1004	1003	1002	5	5	4	23	14	0	0.00	None 
14	37	27	17	15	12	9	73	43	19	1006	1005	1004	7	5	4	19	8	0	0.00	None 
15	37	27	17	14	12	9	68	39	19	1008	1006	1005	7	5	4	11	6	0	0.00	None 
16	39	29	20	16	13	12	73	39	20	1006	1004	1002	5	5	4	14	8	0	0.00	None 
17	34	29	25	20	15	12	74	47	34	1006	1003	1001	4	4	3	34	13	0	0.00	Thunderstorm
18	37	28	19	18	13	10	78	45	19	1009	1007	1005	8	5	4	19	8	0	0.00	None 
19	29	26	21	17	13	10	69	52	35	1012	1009	1006	5	4	3	29	14	0	0.00	Rain 
20	36	27	18	15	14	11	77	50	28	1012	1010	1007	5	5	4	23	11	0	0.00	None 
21	36	27	18	15	13	12	73	44	23	1009	1006	1003	4	4	3	34	13	0	0.00	Thunderstorm
22	33	27	19	18	13	10	88	50	24	1006	1004	1002	10	6	3	40	24	0	0.00	Rain 
23	34	24	15	11	9	7	68	40	20	1006	1004	1003	7	5	4	23	8	0	0.00	Thunderstorm
24	34	26	17	14	11	7	72	41	19	1006	1005	1004	8	6	4	19	10	0	0.00	None 
25	36	26	16	14	12	8	68	40	22	1008	1006	1005	8	5	4	14	6	0	0.00	None 
26	37	29	21	14	9	5	64	31	15	1011	1009	1008	8	6	4	19	10	0	0.00	None 
27	38	31	24	9	6	4	34	22	12	1010	1009	1007	8	6	4	26	16	0	0.00	None 
28	37	28	19	10	7	3	56	29	12	1009	1007	1006	7	6	4	19	8	0	0.00	None 
29	39	29	20	11	8	7	43	27	14	1009	1007	1005	5	5	4	23	8	0	0.00	None 
30	40	30	20	13	9	4	56	30	11	1008	1006	1004	5	4	4	19	6	0	0.00	None 
