1	35	29	24	22	21	20	83	65	41	1003	1002	1001	7	5	4	14	5	0	0.00	None 
2	35	30	26	25	24	22	83	67	56	1003	1002	1001	5	4	4	11	8	0	0.00	None 
3	35	30	25	24	22	20	79	63	44	1008	1006	1003	7	5	4	23	6	0	0.00	None 
4	35	29	24	23	22	21	89	66	47	1011	1009	1007	5	4	4	14	6	0	0.00	None 
5	36	30	25	24	22	19	89	64	47	1011	1008	1006	4	4	3	37	8	0	0.00	Thunderstorm
6	36	29	23	19	18	17	78	56	37	1010	1008	1006	7	5	4	34	13	0	0.00	Thunderstorm
7	35	29	24	22	20	18	73	60	41	1009	1007	1006	5	4	4	11	6	0	0.00	None 
8	35	30	25	22	22	21	83	64	44	1009	1007	1006	7	5	4	19	8	0	0.00	 None
9	36	29	23	22	21	18	88	62	34	1009	1007	1006	5	4	4	11	8	0	0.00	 None
10	35	29	24	22	20	17	78	57	41	1011	1009	1007	5	4	4	14	8	0	0.00	None 
11	36	30	24	22	20	17	73	58	41	1011	1008	1006	5	4	4	13	5	0	0.00	None 
12	36	30	25	24	23	21	83	65	44	1010	1008	1006	6	4	4	13	8	0	0.00	None 
13	35	30	26	24	23	22	89	68	53	1011	1008	1005	4	4	2	14	6	0	0.00	None 
14	36	31	26	25	23	21	78	67	50	1007	1005	1003	4	4	3	14	6	0	0.00	None 
15	35	30	26	24	23	22	79	66	53	1007	1005	1004	4	4	3	14	8	0	0.00	None 
16	33	28	24	23	20	18	83	62	41	1008	1006	1005	6	4	2	29	10	0	0.00	Rain
17	35	29	23	23	21	19	83	65	44	1009	1007	1005	5	4	4	14	6	0	0.00	None 
18	35	30	25	25	23	22	83	68	55	1009	1007	1005	4	4	3	11	5	0	0.00	None 
19	35	30	25	25	23	21	79	66	56	1008	1007	1005	4	4	4	19	6	0	0.00	None 
20	33	29	25	24	22	21	83	73	52	1007	1005	1004	4	4	3	23	8	0	0.00	Rain 
21	29	24	21	23	22	20	100	79	66	1006	1005	1002	4	3	1	11	5	0	0.00	Rain
22	25	23	21	24	22	20	100	95	78	1004	1002	999	4	3	2	27	11	0	0.00	Rain 
23	30	26	22	22	21	19	100	76	55	1010	1008	1004	5	4	3	37	8	0	0.00	Rain
24	31	26	22	21	21	19	88	71	55	1008	1006	1004	8	5	3	14	6	0	0.00	None 
25	32	27	23	22	21	19	94	72	55	1009	1005	1004	5	4	1	11	5	0	0.00	 None
26	32	28	24	23	22	20	89	72	59	1008	1006	1004	4	4	4	11	5	0	0.00	 None
27	32	27	22	20	18	17	73	62	49	1011	1009	1007	8	5	4	14	6	0	0.00	 None
28	32	26	21	20	19	18	83	65	46	1012	1010	1009	8	5	3	19	6	0	0.00	 None
29	33	27	21	19	17	14	88	62	31	1014	1013	1010	8	5	4	26	11	0	0.00	 None
30	33	26	18	19	17	15	88	62	41	1015	1013	1012	5	5	4	14	8	0	0.00	 None
