1	41	31	22	13	9	5	57	28	11	1005	1003	1001	6	5	4	19	6	0	0.00	None 
2	43	33	24	12	8	3	47	24	9	1004	1002	1001	6	5	4	23	6	0	0.00	None 
3	30	28	25	14	11	8	50	35	27	1009	1005	1003	4	3	1	37	10	0	0.00	Rain
4	31	26	22	20	16	12	78	58	35	1008	1006	1004	4	4	3	40	10	0	0.00	Rain 
5	34	27	19	17	16	15	78	52	32	1010	1008	1006	5	5	4	14	6	0	0.00	None 
6	36	28	20	17	14	12	78	46	23	1010	1008	1006	5	5	4	37	11	0	0.00	None 
7	38	30	23	16	14	12	57	38	21	1009	1006	1005	4	4	4	14	6	0	0.00	None 
8	41	33	26	17	15	13	57	37	19	1008	1006	1005	4	4	4	14	6	0	0.00	None 
9	40	34	28	16	14	13	39	31	21	1009	1006	1004	4	4	3	26	10	0	0.00	None 
10	40	34	23	20	16	14	83	38	23	1011	1007	1003	4	4	1	47	11	0	0.00	Rain 
11	34	28	22	21	19	17	83	60	36	1012	1008	1005	5	4	3	47	18	0	0.00	Rain 
12	37	30	23	20	17	15	73	47	30	1007	1004	1001	8	5	4	23	8	0	0.00	None 
13	39	33	27	16	13	11	51	35	20	1005	1003	1001	7	5	1	55	13	0	0.00	Thunderstorm
14	39	30	22	15	12	9	61	35	17	1007	1005	1004	7	5	3	40	11	0	0.00	Thunderstorm
15	39	31	24	12	10	8	44	28	15	1008	1006	1004	5	5	4	27	14	0	0.00	None 
16	40	31	23	14	9	3	53	29	10	1004	1003	1000	5	5	4	23	11	0	0.00	None 
17	42	33	25	15	12	8	50	29	13	1003	1001	999	7	5	4	26	11	0	0.00	None 
18	44	34	24	13	10	6	50	24	10	1000	999	997	5	5	4	14	10	0	0.00	None
19	44	34	26	13	10	3	42	23	9	1002	999	997	4	4	4	29	11	0	0.00	None 
20	43	34	26	17	15	10	47	30	21	1002	998	995	4	4	4	23	10	0	0.00	None 
21	43	34	27	17	16	14	48	32	18	1000	997	994	5	4	4	23	8	0	0.00	None 
22	42	36	30	21	18	17	48	38	26	999	998	996	4	4	4	26	11	0	0.00	Rain 
23	35	28	22	22	17	14	83	47	28	1002	999	997	5	4	0	55	16	0	0.00	Rain 
24	32	26	21	21	18	17	94	64	46	1005	1003	1001	5	5	4	29	14	0	0.00	Rain 
25	37	29	21	18	17	14	78	49	25	1002	1000	997	7	5	4	23	8	0	0.00	None 
26	39	32	26	18	16	14	61	39	22	1002	1000	997	5	4	1	64	11	0	0.00	Thunderstorm
27	40	32	24	18	16	15	61	41	23	1003	1001	999	5	4	4	23	10	0	0.00	None 
28	41	33	27	20	18	17	62	43	24	1002	999	997	4	4	3	37	10	0	0.00	Thunderstorm
29	38	31	24	19	15	12	69	42	21	1002	1000	999	5	4	4	19	10	0	0.00	None 
30	35	28	22	17	14	13	73	42	26	1005	1003	999	5	4	0	93	23	0	0.00	Rain 
31	38	30	23	20	18	17	69	47	29	1005	1004	1002	5	4	4	19	8	0	0.00	None 
